2022-12-14;050/B/NBP/2022;GTQ;quetzal (Gwatemala);0.5598
2022-12-14;050/B/NBP/2022;IRR;rial irański;1.05E-4
2022-12-14;050/B/NBP/2022;YER;rial jemeński;0.017607
2022-12-14;050/B/NBP/2022;QAR;rial katarski;1.2006
2022-12-14;050/B/NBP/2022;OMR;rial omański;11.4584
2022-12-14;050/B/NBP/2022;SAR;rial saudyjski;1.1719
2022-12-14;050/B/NBP/2022;KHR;riel (Kambodża);0.001072
2022-12-14;050/B/NBP/2022;BYN;rubel białoruski;1.2955
2022-12-14;050/B/NBP/2022;RUB;rubel rosyjski;0.0695
2022-12-14;050/B/NBP/2022;LKR;rupia lankijska;0.012054
2022-12-14;050/B/NBP/2022;MVR;rupia (Malediwy);0.285
2022-12-14;050/B/NBP/2022;MUR;rupia Mauritiusu;0.0996
2022-12-14;050/B/NBP/2022;NPR;rupia nepalska;0.033395
2022-12-14;050/B/NBP/2022;PKR;rupia pakistańska;0.0196
2022-12-14;050/B/NBP/2022;SCR;rupia seszelska;0.3351
2022-12-14;050/B/NBP/2022;PEN;sol (Peru);1.154
2022-12-14;050/B/NBP/2022;KGS;som (Kirgistan);0.0518
2022-12-14;050/B/NBP/2022;TJS;somoni (Tadżykistan);0.4355
2022-12-14;050/B/NBP/2022;UZS;sum (Uzbekistan);3.9E-4
2022-12-14;050/B/NBP/2022;KES;szyling kenijski;0.035878
2022-12-14;050/B/NBP/2022;SOS;szyling somalijski;0.00775
2022-12-14;050/B/NBP/2022;TZS;szyling tanzański;0.001888
2022-12-14;050/B/NBP/2022;UGX;szyling ugandyjski;0.001191
2022-12-14;050/B/NBP/2022;BDT;taka (Bangladesz);0.042424
2022-12-14;050/B/NBP/2022;WST;tala (Samoa);1.628
2022-12-14;050/B/NBP/2022;KZT;tenge (Kazachstan);0.009401
2022-12-14;050/B/NBP/2022;MNT;tugrik (Mongolia);0.001286
2022-12-14;050/B/NBP/2022;VUV;vatu (Vanuatu);0.036276
2022-12-14;050/B/NBP/2022;BAM;wymienialna marka (Bośnia i Hercegowina);2.3915
